qty;manf#;refs
1;2450AT18D0100E;A1
1;2450BM14A0002T;B1
2;C0402C103J3RACTU;C1,C19
1;C0402C103J3RACTU;C1
1;C0402C103J3RACTU;C19
2;GRM1555C1H220JA01D;C7,C8
1;GRM188R61A106ME69D;C9
8;LMK107BJ475KAT;C18,C6,C4,C5,C10,C11,C14,C17
3;0603ZD105KAT2A;C12,C2,C13
2;CL10A475KP8NNNC;C3,C15
1;CL10A475KP8NNNC;C16
1;C0402C102K5RACTU;C20
1;C0402C222K5RACTU;C21
1;CGA2B3X7R1H333K050BB;C22
2;PD1522CTR8;D1,D3
1;SMLVN6RGB1W1;D2
1;781710002;J1
1;781710003;J2
1;A316DA2SV71;J10
1;877601616;J11
1;A316DA2SV71;J12
1;877581616;J13
4;MMBT3904LT1G;Q4,Q1,Q2,Q3
3;MCMR04X22R0FTL;R3,R1,R2
7;CRCW0402100KFKED;R4,R5,R6,R8,R12,R15,R23
6;CRCW040210K0FKED;R7,R9,R14,R19,R20,R22
2;RC0402FR-07560KL;R10,R13
2;CRCW04021M50FKED;R11,R21
1;ERJ2RKF22R6X;R16
1;RVC0402FT130K;R17
1;ERJ2RKF24R9X;R18
1;RC0402JR070RL;R24
1;CRCW040222K0FKED;R27
1;STM32F051C8U6;U1
1;LSM6DS3TR;U2
1;A3901SEJTRT;U3
1;ADP122ACPZ33R7;U4
1;AT42QT1070MMHR;U5
1;MCP73831T-2ACI/OTCT-ND;U6
1;NRF24L01PR7;U7
1;7V16000MAAET;Y1
